Designator,Mid X,Mid Y,Rotation,Layer
C1,76.0,-83.5,180.0,top
C10,113.65,-96.4,270.0,top
C11,112.4,-96.4,270.0,top
C12,98.0,-79.0,270.0,top
C13,89.35,-100.7,180.0,top
C14,92.1,-95.45,90.0,top
C2,82.5,-84.75,90.0,top
C3,103.8,-90.8,270.0,top
C4,96.5,-90.75,270.0,top
C5,101.6,-96.0,270.0,top
C6,94.25,-90.75,270.0,top
C7,99.8,-96.0,270.0,top
C8,94.25,-76.75,270.0,top
C9,110.9,-96.9,270.0,top
D1,77.0,-86.25,180.0,top
D10,148.6,-84.2,180.0,top
D11,82.5,-110.0,0.0,top
D12,133.0,-87.8,90.0,top
D13,128.55,-87.8,90.0,top
D14,113.9,-82.0,90.0,top
D2,86.5,-95.75,270.0,top
D3,74.8,-79.6,0.0,top
D4,74.8,-76.4,0.0,top
D5,74.75,-73.25,0.0,top
D6,107.5,-78.75,180.0,top
D7,148.6,-74.6,180.0,top
D8,148.6,-77.8,180.0,top
D9,148.6,-81.0,180.0,top
J1,102.25,-72.75,180.0,top
J3,76.462,-97.5,270.0,top
J4,144.538,-97.5,90.0,top
J8,115.0,-74.5,180.0,top
J9,129.695,-75.65,0.0,top
R1,72.5,-86.25,180.0,top
R10,101.75,-84.75,270.0,top
R11,114.9,-96.4,270.0,top
R12,145.0,-74.6,180.0,top
R13,145.0,-77.88,180.0,top
R14,145.0,-81.0,180.0,top
R15,145.0,-84.2,180.0,top
R2,78.25,-82.25,180.0,top
R3,76.0,-82.25,180.0,top
R4,96.5,-87.0,90.0,top
R5,94.25,-79.75,90.0,top
R6,78.8,-79.6,180.0,top
R7,78.8,-76.4,180.0,top
R8,78.75,-73.25,180.0,top
R9,103.5,-84.75,270.0,top
S1,131.0,-113.75,270.0,top
U1,88.8225,-84.66,90.0,top
U2,100.8,-91.4,270.0,top
U3,95.5,-83.25,180.0,top
U4,102.5,-80.75,90.0,top
U5,113.7,-91.2,180.0,top
U6,92.6,-99.2,270.0,top
